Document,Contributions,Experiments / Data,Metrics,Limitations / Notes
A Framework for Mitigating Malicious RLHF Feedback in LLM Training Using Consensus-Based Reward.pdf,Proposes COBRA consensus framework (RoT/DRWA/AVGA) to mitigate malicious RLHF feedback.,SST-2 sentiment analysis (DistilBERT) and Anthropic/hh-rlhf for conversational RLHF under mixed-trust scenarios.,"Reward accuracy (e.g., 85% vs 48.78% unprotected), LLM accuracy, AUC mentioned.",Uses synthetic feedback; human intent variable not explored; future work listed.
Agent4FaceForgery - Multi-Agent LLM Framework for Realistic Face Forgery Detection (arXiv 2509.12546v1).pdf,Multi-agent simulation of forger intent/process to generate realistic training data; improves generalization.,"Train on FF++; evaluate on Celeb-DF (V2), DFDC, WildDeepfake, DFD; cross-dataset evaluation.","AUC, AP, EER, accuracy; annotation quality precision/recall/F1.",Notes limitations of single-LLM approaches; explicit limitations not deeply detailed.
Beyond PRNU - Learning Robust Device-Specific Fingerprint for Source Camera Identification.pdf,Proposes low/mid-frequency device-specific fingerprint beyond PRNU; addresses spatial sync fragility.,"VISION, Warwick, Daxing, UNISA2020, custom dataset; open-set validation.",Identification accuracy; PCE for PRNU removal.,Discusses PRNU and CNN weaknesses; explicit limitations for proposed method are limited.
ForenX - Towards Explainable AI-Generated Image Detection with Multimodal Large Language Models (arXiv 2508.01402v1).pdf,ForenX for explainable AI-generated image detection; introduces ForgReason dataset for explanations.,GenImage/ForenSynths; SD3/Flux samples; human-annotated explanation data.,"Mean accuracy (mAcc); cross-source generalization; explanation metrics (comprehensiveness, relevance, similarity, reasonableness).",Explanation completeness issues; ForgReason improvements noted as future work.
Fourier-VLM - Compressing Vision Tokens in the Frequency Domain for Large Vision-Language Models (arXiv 2508.06038v2).pdf,Frequency-domain vision token compression for VLM efficiency.,"LLaVA-v1.5 setup; VQAv2, GQA, SciQA, VQAT, POPE, MMBench, LLaVAW, MMMU.",Average accuracy across image benchmarks (>96% average reported).,Calls for more generalizable compression strategies; limited explicit limitation detail.
From Black Boxes to Glass Boxes - Explainable AI for Trustworthy Deepfake Forensics.pdf,"Survey of explainable deepfake forensics; methods, metrics, datasets.",Survey (no direct experiments).,Discusses Accuracy/AUC/EER and XAI evaluation frameworks.,Highlights opacity limits of black-box models and sensor-trace methods.
From Evidence to Verdict - An Agent-Based Forensic Framework for AI-Generated Image Detection (arXiv 2511.00181v1).pdf,AIFo: training-free agentic forensics with evidence gathering and debate.,"6,000-image benchmark (in-the-wild + benchmarks); external evidence (EXIF, reverse search).",Accuracy/Precision/Recall/F1 (0.9705 accuracy reported).,Memory module excluded from evaluation due to label-dependence at test time.
LLM-driven Provenance Forensics for Threat Investigation and Detection (arXiv 2508.21323v2).pdf,PROVSEEK: LLM-agent framework for provenance-based forensics.,Public DARPA/OpTC datasets; ablation studies.,Precision/Recall/F1; accuracy; latency/token/cost tradeoffs.,LLM extraction and orchestration limitations noted.
MAD-Sherlock - Multi-Agent Debate for Visual Misinformation Detection (arXiv 2410.20140v2).pdf,Multi-agent debate with external retrieval for OOC image-text misinformation detection.,NewsCLIPpings (Merged-Balanced); multiple debating setups.,"Accuracy/Precision/Recall (e.g., 90.8% / 85.5% / 99.0).",Dependent on external retrieval; textual-only explanations; English data bias; open-source adversarial risk.
MAD-Sherlock - Multi-Agent Debate for Visual Misinformation Detection.pdf,Duplicate of arXiv paper.,Same as above.,Same as above.,Same as above.
On the Reliability of Vision-Language Models Under Adversarial Frequency-Domain Perturbations (arXiv 2507.22398v3).pdf,Shows VLM vulnerability to frequency-domain perturbations; introduces RGFreq dataset.,"SD3.5/SD1.5 ImageNet, StableImageNet-1K, CIFAKE, GCC, COCO; multiple VLMs.","Realism score distributions, semantic drift, caption length changes.",High cost to generate optimal perturbations; larger models add overhead.
PRNU Estimation Based on Weighted Averaging for Source Smartphone Video Identification.pdf,Weighted averaging PRNU estimation for smartphone videos.,Smartphone dataset + Video-ACID.,"Correlation/NCC, PCE, FNR/FPR.",Explicit limitations not stated.
Towards Explainable Fake Image Detection with Multi-Modal Large Language Models (arXiv 2504.14245v2).pdf,MLLM-based explainable fake image detection; prompt fusion strategies.,MMFR dataset (GPT-4o + expert annotation); Midjourney/DALL-E referenced.,Accuracy-focused tables (quantitative comparisons).,Limitations section emphasizes ethics/transparency; technical limits are not detailed.
5 Real-World Ways to Optimize Prompt Engineering for Smarter LLM Outputs _ by Pratik Abnave _ Medium.html,Prompt engineering tips and workflow guidance.,No formal experiments.,None.,Practical advice only; no quantitative evaluation.
How LLMs Are Transforming Image to Text Analysis with AI _ by Amol Walunj _ Medium.html,"Overview of LLM-based image-to-text, OCR limits.",Informal comparison of Gemini 1.5 Pro/2.0 Flash.,None.,Notes OCR accuracy/efficiency limitations; no formal metrics.
Large Language Models in Digital Forensics _ by Aastha Thakker _ Medium.html,Overview of LLMs in digital forensics and challenges.,No formal experiments.,None.,Challenges/limitations section present; qualitative.
Multi-Agent Debate Strategies.html,Overview of MAD strategies and applications.,No formal experiments.,None.,Conceptual summary; no quantitative evaluation.
"Unmasking Deepfakes_ How You and AI Agents Can Detect Them _ by Ross W. Green, MD (CustomAI Studio) _ Medium.html",General overview of deepfake detection and agent collaboration.,No formal experiments.,None.,Notes accuracy vs false positive/negative trade-offs.
